PRVDR_CTGRY_SBTYP_CD,PRVDR_CTGRY_CD,FAC_NAME,PRVDR_NUM,PGM_TRMNTN_CD,TRMNTN_EXPRTN_DT,ZIP_CD,Year
1.0,1,SOUTHEAST ALABAMA MEDICAL CENTER,10001,0,,36301.0,2016
1.0,1,NORTH JACKSON HOSPITAL,10004,1,20010831.0,35740.0,2016
1.0,1,MARSHALL MEDICAL CENTER SOUTH,10005,0,,35957.0,2016
1.0,1,ELIZA COFFEE MEMORIAL HOSPITAL,10006,0,,35631.0,2016
1.0,1,MIZELL MEMORIAL HOSPITAL,10007,0,,36467.0,2016
1.0,1,CRENSHAW COMMUNITY HOSPITAL,10008,0,,36049.0,2016
1.0,1,HARTSELLE MEDICAL CENTER,10009,1,20120201.0,35640.0,2016
1.0,1,MARSHALL MEDICAL CENTER NORTH,10010,1,20111001.0,35976.0,2016
1.0,1,ST VINCENT'S EAST,10011,0,,35235.0,2016
1.0,1,DEKALB REGIONAL MEDICAL CENTER,10012,0,,35968.0,2016
1.0,1,SOUTHWEST ALABAMA MEDICAL CENTER,10015,1,20110816.0,36784.0,2016
1.0,1,SHELBY BAPTIST MEDICAL CENTER,10016,0,,35007.0,2016
1.0,1,FAIRVIEW MEDICAL CTR,10017,1,19851224.0,36108.0,2016
1.0,1,CALLAHAN EYE HOSPITAL,10018,0,,35233.0,2016
1.0,1,HELEN KELLER MEMORIAL HOSPITAL,10019,0,,35660.0,2016
1.0,1,PIEDMONT HOSPITAL,10020,1,19911121.0,36272.0,2016
1.0,1,DALE MEDICAL CENTER,10021,0,,36360.0,2016
1.0,1,CHEROKEE MEDICAL CENTER,10022,0,,35960.0,2016
1.0,1,BAPTIST MEDICAL CENTER SOUTH,10023,0,,36116.0,2016
1.0,1,JACKSON HOSPITAL & CLINIC INC,10024,0,,36106.0,2016
1.0,1,GEORGE H. LANIER MEMORIAL HOSPITAL,10025,1,20140201.0,36854.0,2016
1.0,1,COLUMBIA REGIONAL MEDICAL CENTER,10026,1,19881231.0,36420.0,2016
1.0,1,ELBA GENERAL HOSPITAL,10027,1,20130205.0,36323.0,2016
1.0,1,GUNTERSVILLE HOSPITAL,10028,1,19900113.0,35976.0,2016
1.0,1,EAST ALABAMA MEDICAL CENTER,10029,0,,36801.0,2016
1.0,1,PHENIX REGIONAL HOSPITAL,10031,1,20020401.0,36867.0,2016
1.0,1,WEDOWEE HOSPITAL,10032,0,,36278.0,2016
1.0,1,UNIVERSITY OF ALABAMA HOSPITAL,10033,0,,35233.0,2016
1.0,1,COMMUNITY HOSPITAL INC,10034,0,,36078.0,2016
1.0,1,CULLMAN REGIONAL MEDICAL CENTER,10035,0,,35058.0,2016
1.0,1,ANDALUSIA REGIONAL HOSPITAL,10036,0,,36420.0,2016
1.0,1,STRINGFELLOW MEMORIAL HOSPITAL,10038,0,,36201.0,2016
1.0,1,HUNTSVILLE HOSPITAL,10039,0,,35801.0,2016
1.0,1,GADSDEN REGIONAL MEDICAL CENTER,10040,0,,35903.0,2016
1.0,1,NORTH MOBILE COMMUNITY HOSPITAL,10041,1,19881007.0,36572.0,2016
1.0,1,CHILTON MEDICAL CENTER,10043,1,20130410.0,35045.0,2016
1.0,1,MARION REGIONAL MEDICAL CENTER,10044,0,,35570.0,2016
1.0,1,FAYETTE MEDICAL CENTER,10045,0,,35555.0,2016
1.0,1,RIVERVIEW REGIONAL MEDICAL CENTER,10046,0,,35901.0,2016
1.0,1,GEORGIANA MEDICAL CENTER,10047,0,,36033.0,2016
1.0,1,MEDICAL CENTER ENTERPRISE,10049,0,,36330.0,2016
1.0,1,ST VINCENTS BLOUNT,10050,7,20130619.0,35121.0,2016
1.0,1,GREENE COUNTY HOSPITAL,10051,0,,35462.0,2016
1.0,1,LAKE MARTIN COMMUNITY HOSPITAL,10052,0,,36853.0,2016
1.0,1,ATMORE COMMUNITY HOSPITAL,10053,1,20050630.0,36502.0,2016
1.0,1,DECATUR MORGAN HOSPITAL-PARKWAY CAMPUS,10054,1,20140101.0,35601.0,2016
1.0,1,FLOWERS HOSPITAL,10055,0,,36305.0,2016
1.0,1,ST VINCENT'S BIRMINGHAM,10056,0,,35205.0,2016
1.0,1,ENTERPRISE HOSPITAL,10057,1,19910401.0,36331.0,2016
